<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAM,20221223,10.9086,11.4729,10.3444,11.4259,3600
AAM,20221222,10.3903,11.0955,10.3903,11.0967,500
AAM,20221221,11.0027,11.2848,10.7206,10.8146,5300
AAM,20221220,10.6735,10.9557,10.5795,10.9557,1100
AAM,20221219,10.6265,11.0967,10.6265,10.9557,5400
AAM,20221216,11.1426,11.1426,10.6254,10.6265,11900
AAM,20221215,11.2836,11.3776,10.8605,11.1437,17000
AAM,20221214,11.2378,11.2848,11.0967,11.2848,1400
AAM,20221213,10.9557,11.4729,10.4384,11.4729,2300
AAM,20221212,11.6139,11.6139,10.9557,10.9557,4800
AAM,20221209,10.8146,11.2378,10.8146,11.0027,3300
AAM,20221208,11.2378,11.4259,11.2378,11.4259,3000
AAM,20221207,10.8146,11.4729,10.8146,11.4729,10800
AAM,20221206,12.0358,12.1299,10.9545,11.5669,17200
AAM,20221205,11.755,11.755,11.0967,11.661,12300
AAM,20221202,10.5784,11.3776,10.5784,11.3318,5000
AAM,20221201,10.9075,11.3306,10.9075,10.9086,19400
AAM,20221130,10.3903,11.0955,10.3433,10.9086,10600
AAM,20221129,10.3433,10.6254,10.2963,10.3914,3600
AAM,20221128,10.1552,10.3903,9.6381,10.3914,14500
AAM,20221125,10.2493,10.3433,9.9672,10.1563,1100
AAM,20221124,10.4855,10.4855,10.0623,10.0623,1400
AAM,20221123,10.1082,10.4373,10.1082,10.4384,1400
AAM,20221122,9.8742,10.5325,9.8272,10.0153,4300
AAM,20221121,9.9682,10.3914,9.3758,9.8742,6800
AAM,20221118,9.31,9.8272,9.31,9.8272,8500
AAM,20221117,9.8272,9.9212,8.6423,9.31,27800
AAM,20221116,8.7457,9.31,8.1251,9.2912,21100
AAM,20221115,8.9611,8.9611,8.3781,8.7363,10500
AAM,20221114,9.0551,9.0551,9.0081,9.009,1700
AAM,20221111,9.7321,9.8261,9.6851,9.6861,1200
AAM,20221110,9.2055,9.8732,8.6131,9.2535,9200
AAM,20221109,9.2902,9.2902,8.6131,9.2535,700
AAM,20221108,9.0269,9.3466,8.7918,9.2535,2800
AAM,20221107,9.8732,9.8732,9.45,9.451,3700
AAM,20221104,10.3433,10.3433,9.6851,10.1563,2200
AAM,20221103,10.3444,10.3444,10.3444,10.3444,100
AAM,20221102,10.3444,10.3444,10.3444,10.3444,200
AAM,20221101,10.2974,10.2974,10.2504,10.2504,5100
AAM,20221031,10.2504,10.2504,10.0623,10.2504,1100
AAM,20221028,10.6265,10.6265,9.9682,10.3444,5500
AAM,20221027,9.8742,10.7206,9.5921,10.3444,9900
AAM,20221026,10.3444,10.3444,9.8272,10.2974,4100
AAM,20221025,9.9682,10.4855,9.7331,10.3444,2600
AAM,20221024,10.6254,10.6254,10.0142,10.4384,4600
AAM,20221021,10.6724,11.1896,10.2963,10.6735,19200
AAM,20221020,10.3903,11.2836,10.3433,10.6735,11700
AAM,20221019,11.0955,11.1896,10.8135,11.0967,6800
AAM,20221018,11.0485,11.3776,11.0015,11.1437,10500
AAM,20221017,10.6724,11.1426,10.6724,11.1437,1200
AAM,20221014,11.3318,11.3318,11.1437,11.2378,2500
AAM,20221013,11.661,11.661,11.0967,11.4259,1500
AAM,20221012,10.7664,11.2366,10.7664,11.1437,6500
AAM,20221011,10.7206,10.8146,10.4855,10.7676,1700
AAM,20221010,10.3444,11.0027,10.3444,10.7206,5900
AAM,20221007,10.1093,10.5795,10.1093,10.3444,10100
AAM,20221006,10.8616,11.2848,10.1093,10.1093,26000
AAM,20221005,10.7664,11.0015,10.7664,10.8616,6300
AAM,20221004,10.8135,11.1426,10.7664,10.9086,19500
AAM,20221003,11.3318,11.3318,10.6265,10.9557,27100
AAM,20220930,10.7206,10.9557,10.4384,10.9557,4400
AAM,20220929,11.1896,11.3306,11.1426,11.1437,600
AAM,20220928,10.9086,11.2378,10.9086,11.1908,2600
AAM,20220927,11.3788,11.5669,10.8616,11.0497,4700
AAM,20220926,11.5669,11.5669,11.1437,11.2848,10900
AAM,20220923,11.3776,11.3776,11.1896,11.3788,3300
AAM,20220922,11.3318,11.4259,11.1437,11.4259,14300
AAM,20220921,11.6127,11.6127,11.1896,11.3788,2200
AAM,20220920,11.2848,11.849,10.8616,11.661,8000
AAM,20220919,11.5187,11.5657,10.8135,11.3788,23000
AAM,20220916,11.2848,11.708,11.2848,11.5199,12300
AAM,20220915,11.4717,11.6597,11.2836,11.3788,27200
AAM,20220914,11.4259,11.4729,11.2848,11.4729,2100
AAM,20220913,11.5669,12.2252,11.2848,11.661,4000
AAM,20220912,11.5199,11.5199,11.1908,11.4729,16600
AAM,20220909,11.4729,11.5669,11.2848,11.4729,2300
AAM,20220908,11.5669,11.5669,11.2848,11.4729,6800
AAM,20220907,11.6127,11.6597,11.2836,11.5669,5000
AAM,20220906,11.9901,11.9901,11.5199,11.755,15100
AAM,20220905,12.1312,12.1312,11.5199,11.708,19300
AAM,20220831,11.4246,11.4717,11.0955,11.3788,15400
AAM,20220830,11.3788,11.4259,11.1908,11.4259,3000
AAM,20220829,11.0015,11.4717,10.6724,11.3788,50400
